channel name,number,theta,phi
A15,1,0,0
A14,2,23,90
B11,3,23,30
B20,4,23,-30
B21,5,23,-90
A24,6,-23,30
A13,7,-23,-30
B4,8,45,76
B5,9,43,49
B10,10,43,21
B12,11,45,-7
B19,12,45,-35
B22,13,46,-63
B28,14,45,-90
A25,15,-45,63
A23,16,-45,35
A16,17,-45,7
A12,18,-45,-21
A7,19,-45,-49
A6,20,-45,-76
A5,21,68,90
B3,22,68,68
B6,23,68,45
B9,24,68,22
B13,25,68,0
B18,26,68,-22
B23,27,68,-45
B27,28,68,-68
B29,29,-68,90
A30,30,-68,68
A26,31,-68,45
A22,32,-68,22
A17,33,-68,0
A11,34,-68,-22
A8,35,-68,-45
A4,36,-68,-68
A1,37,90,90
B1,38,90,69
B2,39,90,48
B8,40,90,27
B14,41,90,6
B17,42,90,-15
B24,43,90,-36
B26,44,90,-57
B30,45,90,-78
A31,46,-90,78
A29,47,-90,57
A27,48,-90,36
A21,49,-90,15
A18,50,-90,-6
A10,51,-90,-27
A3,52,-90,-48
A2,53,-90,-69
B7,54,113,35
B15,55,113,10
B16,56,113,-15
B25,57,113,-40
B31,58,113,-65
B32,59,113,-90
A32,60,-113,65
A28,61,-113,40
A20,62,-113,15
A19,63,-113,-10
A9,64,-113,-35
CMS,65,-13,0
DRL,66,13,0
